product_name,stars,rating,reviews,curr_price,mrp,processor,ram,image
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,4.1,1889,284,24490,39990,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/n/xl30-thin-and-light-laptop-infinix-original-imagzmncmw5wukam.jpeg?q=70
CHUWI Celeron Dual Core 11th Gen,3.9,21,5,19990,34990,Intel Celeron Dual Core Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/m/q/-original-imagrfsbcwgjjegf.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,5360,463,37000,49557,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/g/c/-original-imagp7pfkztgtg93.jpeg?q=70
HP Celeron Dual Core,4,1885,263,18990,33390,Intel Celeron Dual Core Processor,4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/w/r/-original-imagrs2bqaczkcty.jpeg?q=70
HP Chromebook x360 Intel Celeron Quad Core,3.8,162,19,18990,31156,Intel Celeron Quad Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/computer/j/u/m/14a-ca0504tu-thin-and-light-laptop-hp-original-imagbmt6dsjhwwhz.jpeg?q=70
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U,4.2,931,120,38990,50990,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/u/p/-original-imagpxgrxrqsmdqz.jpeg?q=70
HP 15s Intel Core i3 12th Gen,4.3,1039,134,42890,56261,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/l/e/-original-imagphhhan259czj.jpeg?q=70
HP 15s (2023) Ryzen 3 Dual Core 3250U,4.2,2093,211,35490,39995,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
ASUS Chromebook Celeron Dual Core,3.6,419,53,13990,24990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70
Acer Extensa (2023) Ryzen 5 Quad Core 7520U,4.1,439,63,34199,51999,Stylish & Portable Thin and Light Laptop,LPDDR5 RAM -faster & low power consuming,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/l/p/-original-imagqmqjv5cyvbup.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.2,1186,101,40490,49425,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/r/j/-original-imagp7pfqggfaqqm.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,2337,258,45490,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70
Infinix INBook Y1 Plus Intel Core i3 10th Gen,4.1,1738,235,28990,49990,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788,4.1,1507,477,13990,24990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
Primebook 4G enabled Android based MediaTek MT8788,4,21,5,14990,27990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/d/u/s-4g-thin-and-light-laptop-primebook-original-imagraab4g5uh39r.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,174,14,34990,49190,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/ky90scw0/computer/k/7/k/ideapad-slim-82h801lgin-laptop-lenovo-original-imagagrpkzaxrcdc.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.3,2465,316,37490,47716,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/t/z/-original-imagp8xzjxx7tzet.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2651,293,35890,47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
RedmiBook Pro Core i5 11th Gen,4.1,6255,707,37990,59999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
HP Laptop Core i3 11th Gen,4.2,336,24,38990,49025,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/u/-original-imagp7pgcy8e6eta.jpeg?q=70
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen,4.1,770,127,20990,29990,Intel Celeron Quad Core Processor (11th Gen),4 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70
MSI Ryzen 5 Hexa Core 7530U,4.4,220,30,39990,61990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,4.1,1889,303,24490,26390,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70
AXL Celeron Dual Core,3.7,47,8,15999,31990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/b/q/axl-vayu-book-thin-and-light-laptop-axl-original-imagrehvpjhwkdcd.jpeg?q=70
